TIME;CH1;CH2;;;PROBE X;V/DIV;T/DIV;V_MIN;V_MAX;V_AVG;;;2026/03/11 22:23;;FNIRSI 1013D;
8,88E-3;-6,00E-3;-1,00E-2;;;;;;;;;;;;;;
8,92E-3;-6,00E-3;-1,00E-2;;;;;;;;;;;;;;
8,96E-3;-1,00E-2;-1,40E-2;;;;;;;;;;;;;;
9,00E-3;-1,00E-2;-1,40E-2;;;;;;;;;;;;;;
9,04E-3;-1,00E-2;-1,80E-2;;;;;;;;;;;;;;
9,08E-3;-1,00E-2;-1,40E-2;;;;;;;;;;;;;;
9,12E-3;-1,40E-2;-1,80E-2;;;;;;;;;;;;;;
9,16E-3;-1,00E-2;-1,40E-2;;;;;;;;;;;;;;
9,20E-3;-1,40E-2;-1,80E-2;;;;;;;;;;;;;;
9,24E-3;-1,00E-2;-1,80E-2;;;;;;;;;;;;;;
9,28E-3;-1,40E-2;-1,80E-2;;;;;;;;;;;;;;
9,32E-3;-1,00E-2;-1,80E-2;;;;;;;;;;;;;;
9,36E-3;-1,00E-2;-1,80E-2;;;;;;;;;;;;;;
9,40E-3;-1,40E-2;-1,80E-2;;;;;;;;;;;;;;
9,44E-3;-1,00E-2;-1,40E-2;;;;;;;;;;;;;;
9,48E-3;-1,40E-2;-1,80E-2;;;;;;;;;;;;;;
9,52E-3;-1,00E-2;-1,40E-2;;;;;;;;;;;;;;
9,56E-3;-6,00E-3;-1,40E-2;;;;;;;;;;;;;;
9,60E-3;-1,00E-2;-1,80E-2;;;;;;;;;;;;;;
9,64E-3;-1,00E-2;-1,40E-2;;;;;;;;;;;;;;
9,68E-3;-1,00E-2;-1,40E-2;;;;;;;;;;;;;;
9,72E-3;-1,40E-2;-1,40E-2;;;;;;;;;;;;;;
9,76E-3;-1,00E-2;-1,00E-2;;;;;;;;;;;;;;
9,80E-3;-6,00E-3;-6,00E-3;;;;;;;;;;;;;;
9,84E-3;-6,00E-3;-6,00E-3;;;;;;;;;;;;;;
9,88E-3;-6,00E-3;-1,00E-2;;;;;;;;;;;;;;
9,92E-3;-6,00E-3;-6,00E-3;;;;;;;;;;;;;;
9,96E-3;-2,00E-3;-2,00E-3;;;;;;;;;;;;;;
1,00E-2;-6,00E-3;-2,00E-3;;;;;;;;;;;;;;
1,00E-2;-2,00E-3;-2,00E-3;;;;;;;;;;;;;;
1,01E-2;-2,00E-3;2,00E-3;;;;;;;;;;;;;;
1,01E-2;-6,00E-3;-6,00E-3;;;;;;;;;;;;;;
1,02E-2;-6,00E-3;-2,00E-3;;;;;;;;;;;;;;
1,02E-2;-2,00E-3;2,00E-3;;;;;;;;;;;;;;
1,02E-2;-2,00E-3;2,00E-3;;;;;;;;;;;;;;
1,03E-2;-2,00E-3;2,00E-3;;;;;;;;;;;;;;
1,03E-2;-2,00E-3;2,00E-3;;;;;;;;;;;;;;
1,04E-2;-2,00E-3;2,00E-3;;;;;;;;;;;;;;
1,04E-2;-2,00E-3;4,00E-3;;;;;;;;;;;;;;
1,04E-2;2,00E-3;2,00E-3;;;;;;;;;;;;;;
1,05E-2;2,00E-3;4,00E-3;;;;;;;;;;;;;;
1,05E-2;-2,00E-3;-2,00E-3;;;;;;;;;;;;;;
1,06E-2;-2,00E-3;2,00E-3;;;;;;;;;;;;;;
1,06E-2;-2,00E-3;2,00E-3;;;;;;;;;;;;;;
1,06E-2;-6,00E-3;-2,00E-3;;;;;;;;;;;;;;
1,07E-2;-6,00E-3;-1,00E-2;;;;;;;;;;;;;;
1,07E-2;-2,00E-3;-6,00E-3;;;;;;;;;;;;;;
1,08E-2;-1,00E-2;-1,40E-2;;;;;;;;;;;;;;
1,08E-2;-1,40E-2;-1,40E-2;;;;;;;;;;;;;;
1,08E-2;-1,80E-2;-1,80E-2;;;;;;;;;;;;;;
1,09E-2;-1,80E-2;-2,00E-2;;;;;;;;;;;;;;
1,09E-2;-1,80E-2;-2,00E-2;;;;;;;;;;;;;;
1,10E-2;-1,80E-2;-2,40E-2;;;;;;;;;;;;;;
1,10E-2;-1,80E-2;-2,40E-2;;;;;;;;;;;;;;
1,10E-2;-1,40E-2;-2,40E-2;;;;;;;;;;;;;;
1,11E-2;-2,00E-2;-2,80E-2;;;;;;;;;;;;;;
1,11E-2;-1,00E-2;-1,80E-2;;;;;;;;;;;;;;
1,12E-2;-2,00E-2;-2,80E-2;;;;;;;;;;;;;;
1,12E-2;-2,00E-2;-2,80E-2;;;;;;;;;;;;;;
1,12E-2;-2,00E-2;-2,80E-2;;;;;;;;;;;;;;
1,13E-2;-2,40E-2;-3,20E-2;;;;;;;;;;;;;;
1,13E-2;-2,40E-2;-3,20E-2;;;;;;;;;;;;;;
1,14E-2;-2,00E-2;-3,20E-2;;;;;;;;;;;;;;
1,14E-2;-2,40E-2;-3,20E-2;;;;;;;;;;;;;;
1,14E-2;-2,80E-2;-3,20E-2;;;;;;;;;;;;;;
1,15E-2;-2,40E-2;-3,20E-2;;;;;;;;;;;;;;
1,15E-2;-2,80E-2;-3,20E-2;;;;;;;;;;;;;;
1,16E-2;-2,40E-2;-2,80E-2;;;;;;;;;;;;;;
1,16E-2;-2,40E-2;-2,80E-2;;;;;;;;;;;;;;
1,16E-2;-2,40E-2;-2,80E-2;;;;;;;;;;;;;;
1,17E-2;-2,40E-2;-2,80E-2;;;;;;;;;;;;;;
1,17E-2;-2,40E-2;-2,80E-2;;;;;;;;;;;;;;
1,18E-2;-2,80E-2;-2,40E-2;;;;;;;;;;;;;;
1,18E-2;-2,00E-2;-2,00E-2;;;;;;;;;;;;;;
1,18E-2;-2,00E-2;-2,00E-2;;;;;;;;;;;;;;
1,19E-2;-1,80E-2;-2,00E-2;;;;;;;;;;;;;;
1,19E-2;-2,00E-2;-2,00E-2;;;;;;;;;;;;;;
1,20E-2;-1,80E-2;-2,00E-2;;;;;;;;;;;;;;
1,20E-2;-1,80E-2;-2,00E-2;;;;;;;;;;;;;;
1,20E-2;-1,80E-2;-1,80E-2;;;;;;;;;;;;;;
1,21E-2;-1,80E-2;-1,40E-2;;;;;;;;;;;;;;
1,21E-2;-1,40E-2;-1,40E-2;;;;;;;;;;;;;;
1,22E-2;-1,80E-2;-1,80E-2;;;;;;;;;;;;;;
1,22E-2;-1,80E-2;-1,80E-2;;;;;;;;;;;;;;
1,22E-2;-1,80E-2;-1,40E-2;;;;;;;;;;;;;;
1,23E-2;-1,40E-2;-1,00E-2;;;;;;;;;;;;;;
1,23E-2;-1,80E-2;-1,40E-2;;;;;;;;;;;;;;
1,24E-2;-1,40E-2;-1,40E-2;;;;;;;;;;;;;;
1,24E-2;-1,80E-2;-1,40E-2;;;;;;;;;;;;;;
1,24E-2;-1,80E-2;-1,40E-2;;;;;;;;;;;;;;
1,25E-2;-1,80E-2;-1,40E-2;;;;;;;;;;;;;;
1,25E-2;-1,40E-2;-1,40E-2;;;;;;;;;;;;;;
1,26E-2;-1,80E-2;-1,40E-2;;;;;;;;;;;;;;
1,26E-2;-1,80E-2;-1,80E-2;;;;;;;;;;;;;;
1,26E-2;-1,80E-2;-1,40E-2;;;;;;;;;;;;;;
1,27E-2;-6,00E-3;-6,00E-3;;;;;;;;;;;;;;
1,27E-2;-1,80E-2;-1,80E-2;;;;;;;;;;;;;;
1,28E-2;-1,40E-2;-1,80E-2;;;;;;;;;;;;;;
1,28E-2;-1,40E-2;-1,80E-2;;;;;;;;;;;;;;
1,28E-2;-1,80E-2;-2,00E-2;;;;;;;;;;;;;;
1,29E-2;-1,80E-2;-2,00E-2;;;;;;;;;;;;;;
1,29E-2;-1,80E-2;-2,00E-2;;;;;;;;;;;;;;
1,30E-2;-1,80E-2;-2,40E-2;;;;;;;;;;;;;;
1,30E-2;-1,80E-2;-2,00E-2;;;;;;;;;;;;;;
1,30E-2;-1,80E-2;-2,00E-2;;;;;;;;;;;;;;
1,31E-2;-1,80E-2;-2,00E-2;;;;;;;;;;;;;;
1,31E-2;-1,40E-2;-2,00E-2;;;;;;;;;;;;;;
1,32E-2;-1,80E-2;-2,00E-2;;;;;;;;;;;;;;
1,32E-2;-6,00E-3;-1,40E-2;;;;;;;;;;;;;;
1,32E-2;-1,80E-2;-2,40E-2;;;;;;;;;;;;;;
1,33E-2;-2,00E-2;-2,80E-2;;;;;;;;;;;;;;
1,33E-2;-1,80E-2;-2,40E-2;;;;;;;;;;;;;;
1,34E-2;-1,80E-2;-2,40E-2;;;;;;;;;;;;;;
1,34E-2;-1,80E-2;-2,40E-2;;;;;;;;;;;;;;
1,34E-2;-1,80E-2;-2,00E-2;;;;;;;;;;;;;;
1,35E-2;-1,80E-2;-2,00E-2;;;;;;;;;;;;;;
1,35E-2;-1,80E-2;-2,00E-2;;;;;;;;;;;;;;
1,36E-2;-1,80E-2;-2,00E-2;;;;;;;;;;;;;;
1,36E-2;-1,80E-2;-2,00E-2;;;;;;;;;;;;;;
1,36E-2;-1,00E-2;-1,40E-2;;;;;;;;;;;;;;
1,37E-2;-1,40E-2;-1,40E-2;;;;;;;;;;;;;;
1,37E-2;-1,80E-2;-1,80E-2;;;;;;;;;;;;;;
1,38E-2;-1,40E-2;-1,80E-2;;;;;;;;;;;;;;
1,38E-2;-1,00E-2;-1,40E-2;;;;;;;;;;;;;;
1,38E-2;-1,40E-2;-1,40E-2;;;;;;;;;;;;;;
1,39E-2;-1,00E-2;-1,00E-2;;;;;;;;;;;;;;
1,39E-2;-1,00E-2;-1,00E-2;;;;;;;;;;;;;;
1,40E-2;-1,00E-2;-6,00E-3;;;;;;;;;;;;;;
1,40E-2;-1,00E-2;-1,00E-2;;;;;;;;;;;;;;
1,40E-2;-1,00E-2;-6,00E-3;;;;;;;;;;;;;;
1,41E-2;-2,00E-3;2,00E-3;;;;;;;;;;;;;;
1,41E-2;-6,00E-3;-2,00E-3;;;;;;;;;;;;;;
1,42E-2;-6,00E-3;-6,00E-3;;;;;;;;;;;;;;
1,42E-2;-2,00E-3;-2,00E-3;;;;;;;;;;;;;;
1,42E-2;-6,00E-3;-2,00E-3;;;;;;;;;;;;;;
1,43E-2;-6,00E-3;-2,00E-3;;;;;;;;;;;;;;
1,43E-2;2,00E-3;4,00E-3;;;;;;;;;;;;;;
1,44E-2;-2,00E-3;2,00E-3;;;;;;;;;;;;;;
